cdmvto_sinc_billeteraIACO;cdusuarioIACO;femvtoIACO;cdnumero_transaccionIACO;vrmvtoIACO;dsdescripcion_mvtoIACO;cdtipo_mvtoIACO;cdtipo_ajusteIACO;cdorigen_ajusteIACO;cdmvto_relacionIACO;cdusuario_ingresaIACO;feingresaIACO;femodificaIACO;cdmovimiento_referenciaIACO;dsplacaIACO;cdpunto_atencionIACO;cdtipo_consumoIACO;vrajusteIACO;cdajusteIACO
27079520;39996;2024-11-15;27079520;30315;Prueba performance insertar ajuste de comision 11000;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079521;39906;2024-11-15;27079521;30316;Prueba performance insertar ajuste de comision 11001;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079522;39960;2024-11-15;27079522;30317;Prueba performance insertar ajuste de comision 11002;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079523;39961;2024-11-15;27079523;30318;Prueba performance insertar ajuste de comision 11003;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079524;39962;2024-11-15;27079524;30319;Prueba performance insertar ajuste de comision 11004;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079525;39763;2024-11-15;27079525;30320;Prueba performance insertar ajuste de comision 11005;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079526;39764;2024-11-15;27079526;30321;Prueba performance insertar ajuste de comision 11006;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079527;39765;2024-11-15;27079527;30322;Prueba performance insertar ajuste de comision 11007;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079528;39766;2024-11-15;27079528;30323;Prueba performance insertar ajuste de comision 11008;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079529;39996;2024-11-15;27079529;30324;Prueba performance insertar ajuste de comision 11009;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079530;39906;2024-11-15;27079530;30325;Prueba performance insertar ajuste de comision 11010;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079531;39960;2024-11-15;27079531;30326;Prueba performance insertar ajuste de comision 11011;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079532;39961;2024-11-15;27079532;30327;Prueba performance insertar ajuste de comision 11012;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079533;39962;2024-11-15;27079533;30328;Prueba performance insertar ajuste de comision 11013;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079534;39763;2024-11-15;27079534;30329;Prueba performance insertar ajuste de comision 11014;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079535;39764;2024-11-15;27079535;30330;Prueba performance insertar ajuste de comision 11015;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079536;39765;2024-11-15;27079536;30331;Prueba performance insertar ajuste de comision 11016;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079537;39766;2024-11-15;27079537;30332;Prueba performance insertar ajuste de comision 11017;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079538;39996;2024-11-15;27079538;30333;Prueba performance insertar ajuste de comision 11018;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079539;39906;2024-11-15;27079539;30334;Prueba performance insertar ajuste de comision 11019;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079540;39960;2024-11-15;27079540;30335;Prueba performance insertar ajuste de comision 11020;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079541;39961;2024-11-15;27079541;30336;Prueba performance insertar ajuste de comision 11021;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079542;39962;2024-11-15;27079542;30337;Prueba performance insertar ajuste de comision 11022;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079543;39763;2024-11-15;27079543;30338;Prueba performance insertar ajuste de comision 11023;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079544;39764;2024-11-15;27079544;30339;Prueba performance insertar ajuste de comision 11024;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079545;39765;2024-11-15;27079545;30340;Prueba performance insertar ajuste de comision 11025;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
