cdmvto_sinc_billeteraIAC;cdusuarioIAC;femvtoIAC;cdnumero_transaccionIAC;vrmvtoIAC;dsdescripcion_mvtoIAC;cdtipo_mvtoIAC;cdtipo_ajusteIAC;cdorigen_ajusteIAC;cdmvto_relacionIAC;cdusuario_ingresaIAC;feingresaIAC;femodificaIAC;cdmovimiento_referenciaIAC;dsplacaIAC;cdpunto_atencionIAC;cdtipo_consumoIAC;vrajusteIAC;cdajusteIAC
24096822;36468;2024-11-15;24096822;30314;Prueba performance insertar ajuste de consumo 11000;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096823;36468;2024-11-15;24096823;30315;Prueba performance insertar ajuste de consumo 11001;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096824;36468;2024-11-15;24096824;30316;Prueba performance insertar ajuste de consumo 11002;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096825;36468;2024-11-15;24096825;30317;Prueba performance insertar ajuste de consumo 11003;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096826;36468;2024-11-15;24096826;30318;Prueba performance insertar ajuste de consumo 11004;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096827;36468;2024-11-15;24096827;30319;Prueba performance insertar ajuste de consumo 11005;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096828;36468;2024-11-15;24096828;30320;Prueba performance insertar ajuste de consumo 11006;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096829;36468;2024-11-15;24096829;30321;Prueba performance insertar ajuste de consumo 11007;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096830;36468;2024-11-15;24096830;30322;Prueba performance insertar ajuste de consumo 11008;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096831;36468;2024-11-15;24096831;30323;Prueba performance insertar ajuste de consumo 11009;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096832;36468;2024-11-15;24096832;30324;Prueba performance insertar ajuste de consumo 11010;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096833;36468;2024-11-15;24096833;30325;Prueba performance insertar ajuste de consumo 11011;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096834;36468;2024-11-15;24096834;30326;Prueba performance insertar ajuste de consumo 11012;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096835;36468;2024-11-15;24096835;30327;Prueba performance insertar ajuste de consumo 11013;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096836;36468;2024-11-15;24096836;30328;Prueba performance insertar ajuste de consumo 11014;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096837;36468;2024-11-15;24096837;30329;Prueba performance insertar ajuste de consumo 11015;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096838;36468;2024-11-15;24096838;30330;Prueba performance insertar ajuste de consumo 11016;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096839;36468;2024-11-15;24096839;30331;Prueba performance insertar ajuste de consumo 11017;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096840;36468;2024-11-15;24096840;30332;Prueba performance insertar ajuste de consumo 11018;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096841;36468;2024-11-15;24096841;30333;Prueba performance insertar ajuste de consumo 11019;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
