cdmvto_sinc_billeteraIAR;cdusuarioIAR;femvtoIAR;cdnumero_transaccionIAR;vrmvtoIAR;dsdescripcion_mvtoIAR;cdtipo_mvtoIAR;cdtipo_ajusteIAR;cdorigen_ajusteIAR;cdmvto_relacionIAR;cdusuario_ingresaIAR;feingresaIAR;femodificaIAR;cdmovimiento_referenciaIAR;dsplacaIAR;cdpunto_atencionIAR;cdtipo_consumoIAR;vrajusteIAR;cdajusteIAR
8170252;39764;2024-11-15;8170252;30342;Prueba performance insertar ajuste de recarga 11000;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170253;39765;2024-11-15;8170253;30343;Prueba performance insertar ajuste de recarga 11001;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170254;39766;2024-11-15;8170254;30344;Prueba performance insertar ajuste de recarga 11002;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170255;39763;2024-11-15;8170255;30345;Prueba performance insertar ajuste de recarga 11003;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170256;39763;2024-11-15;8170256;30346;Prueba performance insertar ajuste de recarga 11004;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170257;39764;2024-11-15;8170257;30347;Prueba performance insertar ajuste de recarga 11005;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170258;39765;2024-11-15;8170258;30348;Prueba performance insertar ajuste de recarga 11006;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170259;39766;2024-11-15;8170259;30349;Prueba performance insertar ajuste de recarga 11007;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170260;39763;2024-11-15;8170260;30350;Prueba performance insertar ajuste de recarga 11008;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170261;39763;2024-11-15;8170261;30351;Prueba performance insertar ajuste de recarga 11009;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170262;39764;2024-11-15;8170262;30352;Prueba performance insertar ajuste de recarga 11010;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170263;39765;2024-11-15;8170263;30353;Prueba performance insertar ajuste de recarga 11011;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170264;39766;2024-11-15;8170264;30354;Prueba performance insertar ajuste de recarga 11012;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170265;39763;2024-11-15;8170265;30355;Prueba performance insertar ajuste de recarga 11013;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170266;39763;2024-11-15;8170266;30356;Prueba performance insertar ajuste de recarga 11014;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170267;39764;2024-11-15;8170267;30357;Prueba performance insertar ajuste de recarga 11015;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170268;39765;2024-11-15;8170268;30358;Prueba performance insertar ajuste de recarga 11016;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170269;39766;2024-11-15;8170269;30359;Prueba performance insertar ajuste de recarga 11017;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170270;39763;2024-11-15;8170270;30360;Prueba performance insertar ajuste de recarga 11018;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170271;39763;2024-11-15;8170271;30361;Prueba performance insertar ajuste de recarga 11019;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170272;39764;2024-11-15;8170272;30362;Prueba performance insertar ajuste de recarga 11020;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
