cdmvto_sinc_billeteraICO;cdusuarioICO;femvtoICO;cdnumero_transaccionICO;vrmvtoICO;dsdescripcion_mvtoICO;cdtipo_mvtoICO;cdtipo_ajusteICO;cdorigen_ajusteICO;cdmvto_relacionICO;cdusuario_ingresaICO;feingresaICO;femodificaICO;cdmovimiento_referenciaICO;dsplacaICO;cdpunto_atencionICO;cdtipo_consumoICO;vrajusteICO;cdajusteICO
7119822;39763;2024-11-15;7119822;30311;Prueba performance insertar comision 11000;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119823;39996;2024-11-15;7119823;30312;Prueba performance insertar comision 11001;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119824;39906;2024-11-15;7119824;30313;Prueba performance insertar comision 11002;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119825;39960;2024-11-15;7119825;30314;Prueba performance insertar comision 11003;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119826;39961;2024-11-15;7119826;30315;Prueba performance insertar comision 11004;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119827;39962;2024-11-15;7119827;30316;Prueba performance insertar comision 11005;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119828;39763;2024-11-15;7119828;30317;Prueba performance insertar comision 11006;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119829;39996;2024-11-15;7119829;30318;Prueba performance insertar comision 11007;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119830;39906;2024-11-15;7119830;30319;Prueba performance insertar comision 11008;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119831;39960;2024-11-15;7119831;30320;Prueba performance insertar comision 11009;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119832;39961;2024-11-15;7119832;30321;Prueba performance insertar comision 11010;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119833;39962;2024-11-15;7119833;30322;Prueba performance insertar comision 11011;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119834;39763;2024-11-15;7119834;30323;Prueba performance insertar comision 11012;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119835;39996;2024-11-15;7119835;30324;Prueba performance insertar comision 11013;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119836;39906;2024-11-15;7119836;30325;Prueba performance insertar comision 11014;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119837;39960;2024-11-15;7119837;30326;Prueba performance insertar comision 11015;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119838;39961;2024-11-15;7119838;30327;Prueba performance insertar comision 11016;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119839;39962;2024-11-15;7119839;30328;Prueba performance insertar comision 11017;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119840;39763;2024-11-15;7119840;30329;Prueba performance insertar comision 11018;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119841;39996;2024-11-15;7119841;30330;Prueba performance insertar comision 11019;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119842;39906;2024-11-15;7119842;30331;Prueba performance insertar comision 11020;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119843;39960;2024-11-15;7119843;30332;Prueba performance insertar comision 11021;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119844;39961;2024-11-15;7119844;30333;Prueba performance insertar comision 11022;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119845;39962;2024-11-15;7119845;30334;Prueba performance insertar comision 11023;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119846;39763;2024-11-15;7119846;30335;Prueba performance insertar comision 11024;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119847;39996;2024-11-15;7119847;30336;Prueba performance insertar comision 11025;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119848;39906;2024-11-15;7119848;30337;Prueba performance insertar comision 11026;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119849;39960;2024-11-15;7119849;30338;Prueba performance insertar comision 11027;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119850;39961;2024-11-15;7119850;30339;Prueba performance insertar comision 11028;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119851;39962;2024-11-15;7119851;30340;Prueba performance insertar comision 11029;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119852;39763;2024-11-15;7119852;30341;Prueba performance insertar comision 11030;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119853;39996;2024-11-15;7119853;30342;Prueba performance insertar comision 11031;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119854;39906;2024-11-15;7119854;30343;Prueba performance insertar comision 11032;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119855;39960;2024-11-15;7119855;30344;Prueba performance insertar comision 11033;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119856;39961;2024-11-15;7119856;30345;Prueba performance insertar comision 11034;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119857;39962;2024-11-15;7119857;30346;Prueba performance insertar comision 11035;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119858;39763;2024-11-15;7119858;30347;Prueba performance insertar comision 11036;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119859;39996;2024-11-15;7119859;30348;Prueba performance insertar comision 11037;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119860;39906;2024-11-15;7119860;30349;Prueba performance insertar comision 11038;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119861;39960;2024-11-15;7119861;30350;Prueba performance insertar comision 11039;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119862;39961;2024-11-15;7119862;30351;Prueba performance insertar comision 11040;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119863;39962;2024-11-15;7119863;30352;Prueba performance insertar comision 11041;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119864;39763;2024-11-15;7119864;30353;Prueba performance insertar comision 11042;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119865;39996;2024-11-15;7119865;30354;Prueba performance insertar comision 11043;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119866;39906;2024-11-15;7119866;30355;Prueba performance insertar comision 11044;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119867;39960;2024-11-15;7119867;30356;Prueba performance insertar comision 11045;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119868;39961;2024-11-15;7119868;30357;Prueba performance insertar comision 11046;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119869;39962;2024-11-15;7119869;30358;Prueba performance insertar comision 11047;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119870;39763;2024-11-15;7119870;30359;Prueba performance insertar comision 11048;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
