cdmvto_sinc_billeteraIC;cdusuarioIC;femvtoIC;cdnumero_transaccionIC;vrmvtoIC;dsdescripcion_mvtoIC;cdtipo_mvtoIC;cdtipo_ajusteIC;cdorigen_ajusteIC;cdmvto_relacionIC;cdusuario_ingresaIC;feingresaIC;femodificaIC;cdmovimiento_referenciaIC;dsplacaIC;cdpunto_atencionIC;cdtipo_consumoIC;vrajusteIC;cdajusteIC
24117200;36468;2024-11-15;24117200;30384;Prueba performance insertar consumo 11000;0;null;null;25110186;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117201;36468;2024-11-15;24117201;30385;Prueba performance insertar consumo 11001;0;null;null;25110187;21;2024-11-15;null;null;AJT124;123;1;null;null
24117202;36468;2024-11-15;24117202;30386;Prueba performance insertar consumo 11002;0;null;null;25110188;21;2024-11-15;null;null;COA721;123;1;null;null
24117203;36468;2024-11-15;24117203;30387;Prueba performance insertar consumo 11003;0;null;null;25110189;21;2024-11-15;null;null;JJV112;123;1;null;null
24117204;36468;2024-11-15;24117204;30388;Prueba performance insertar consumo 11004;0;null;null;25110190;21;2024-11-15;null;null;LED195;123;1;null;null
24117205;36468;2024-11-15;24117205;30389;Prueba performance insertar consumo 11005;0;null;null;25110191;21;2024-11-15;null;null;MIT123;123;1;null;null
24117206;36468;2024-11-15;24117206;30390;Prueba performance insertar consumo 11006;0;null;null;25110192;21;2024-11-15;null;null;QWE000;123;1;null;null
24117207;36468;2024-11-15;24117207;30391;Prueba performance insertar consumo 11007;0;null;null;25110193;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117208;36468;2024-11-15;24117208;30392;Prueba performance insertar consumo 11008;0;null;null;25110194;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117209;36468;2024-11-15;24117209;30393;Prueba performance insertar consumo 11009;0;null;null;25110195;21;2024-11-15;null;null;AJT124;123;1;null;null
24117210;36468;2024-11-15;24117210;30394;Prueba performance insertar consumo 11010;0;null;null;25110196;21;2024-11-15;null;null;COA721;123;1;null;null
24117211;36468;2024-11-15;24117211;30395;Prueba performance insertar consumo 11011;0;null;null;25110197;21;2024-11-15;null;null;JJV112;123;1;null;null
24117212;36468;2024-11-15;24117212;30396;Prueba performance insertar consumo 11012;0;null;null;25110198;21;2024-11-15;null;null;LED195;123;1;null;null
24117213;36468;2024-11-15;24117213;30397;Prueba performance insertar consumo 11013;0;null;null;25110199;21;2024-11-15;null;null;MIT123;123;1;null;null
24117214;36468;2024-11-15;24117214;30398;Prueba performance insertar consumo 11014;0;null;null;25110200;21;2024-11-15;null;null;QWE000;123;1;null;null
24117215;36468;2024-11-15;24117215;30399;Prueba performance insertar consumo 11015;0;null;null;25110201;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117216;36468;2024-11-15;24117216;30400;Prueba performance insertar consumo 11016;0;null;null;25110202;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117217;36468;2024-11-15;24117217;30401;Prueba performance insertar consumo 11017;0;null;null;25110203;21;2024-11-15;null;null;AJT124;123;1;null;null
24117218;36468;2024-11-15;24117218;30402;Prueba performance insertar consumo 11018;0;null;null;25110204;21;2024-11-15;null;null;COA721;123;1;null;null
24117219;36468;2024-11-15;24117219;30403;Prueba performance insertar consumo 11019;0;null;null;25110205;21;2024-11-15;null;null;JJV112;123;1;null;null
24117220;36468;2024-11-15;24117220;30404;Prueba performance insertar consumo 11020;0;null;null;25110206;21;2024-11-15;null;null;LED195;123;1;null;null
24117221;36468;2024-11-15;24117221;30405;Prueba performance insertar consumo 11021;0;null;null;25110207;21;2024-11-15;null;null;MIT123;123;1;null;null
24117222;36468;2024-11-15;24117222;30406;Prueba performance insertar consumo 11022;0;null;null;25110208;21;2024-11-15;null;null;QWE000;123;1;null;null
24117223;36468;2024-11-15;24117223;30407;Prueba performance insertar consumo 11023;0;null;null;25110209;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117224;36468;2024-11-15;24117224;30408;Prueba performance insertar consumo 11024;0;null;null;25110210;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117225;36468;2024-11-15;24117225;30409;Prueba performance insertar consumo 11025;0;null;null;25110211;21;2024-11-15;null;null;AJT124;123;1;null;null
24117226;36468;2024-11-15;24117226;30410;Prueba performance insertar consumo 11026;0;null;null;25110212;21;2024-11-15;null;null;COA721;123;1;null;null
24117227;36468;2024-11-15;24117227;30411;Prueba performance insertar consumo 11027;0;null;null;25110213;21;2024-11-15;null;null;JJV112;123;1;null;null
24117228;36468;2024-11-15;24117228;30412;Prueba performance insertar consumo 11028;0;null;null;25110214;21;2024-11-15;null;null;LED195;123;1;null;null
24117229;36468;2024-11-15;24117229;30413;Prueba performance insertar consumo 11029;0;null;null;25110215;21;2024-11-15;null;null;MIT123;123;1;null;null
24117230;36468;2024-11-15;24117230;30414;Prueba performance insertar consumo 11030;0;null;null;25110216;21;2024-11-15;null;null;QWE000;123;1;null;null
24117231;36468;2024-11-15;24117231;30415;Prueba performance insertar consumo 11031;0;null;null;25110217;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117232;36468;2024-11-15;24117232;30416;Prueba performance insertar consumo 11032;0;null;null;25110218;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117233;36468;2024-11-15;24117233;30417;Prueba performance insertar consumo 11033;0;null;null;25110219;21;2024-11-15;null;null;AJT124;123;1;null;null
24117234;36468;2024-11-15;24117234;30418;Prueba performance insertar consumo 11034;0;null;null;25110220;21;2024-11-15;null;null;COA721;123;1;null;null
24117235;36468;2024-11-15;24117235;30419;Prueba performance insertar consumo 11035;0;null;null;25110221;21;2024-11-15;null;null;JJV112;123;1;null;null
24117236;36468;2024-11-15;24117236;30420;Prueba performance insertar consumo 11036;0;null;null;25110222;21;2024-11-15;null;null;LED195;123;1;null;null
24117237;36468;2024-11-15;24117237;30421;Prueba performance insertar consumo 11037;0;null;null;25110223;21;2024-11-15;null;null;MIT123;123;1;null;null
24117238;36468;2024-11-15;24117238;30422;Prueba performance insertar consumo 11038;0;null;null;25110224;21;2024-11-15;null;null;QWE000;123;1;null;null
24117239;36468;2024-11-15;24117239;30423;Prueba performance insertar consumo 11039;0;null;null;25110225;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117240;36468;2024-11-15;24117240;30424;Prueba performance insertar consumo 11040;0;null;null;25110226;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117241;36468;2024-11-15;24117241;30425;Prueba performance insertar consumo 11041;0;null;null;25110227;21;2024-11-15;null;null;AJT124;123;1;null;null
24117242;36468;2024-11-15;24117242;30426;Prueba performance insertar consumo 11042;0;null;null;25110228;21;2024-11-15;null;null;COA721;123;1;null;null
24117243;36468;2024-11-15;24117243;30427;Prueba performance insertar consumo 11043;0;null;null;25110229;21;2024-11-15;null;null;JJV112;123;1;null;null
24117244;36468;2024-11-15;24117244;30428;Prueba performance insertar consumo 11044;0;null;null;25110230;21;2024-11-15;null;null;LED195;123;1;null;null
24117245;36468;2024-11-15;24117245;30429;Prueba performance insertar consumo 11045;0;null;null;25110231;21;2024-11-15;null;null;MIT123;123;1;null;null
24117246;36468;2024-11-15;24117246;30430;Prueba performance insertar consumo 11046;0;null;null;25110232;21;2024-11-15;null;null;QWE000;123;1;null;null
24117247;36468;2024-11-15;24117247;30431;Prueba performance insertar consumo 11047;0;null;null;25110233;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117248;36468;2024-11-15;24117248;30432;Prueba performance insertar consumo 11048;0;null;null;25110234;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117249;36468;2024-11-15;24117249;30433;Prueba performance insertar consumo 11049;0;null;null;25110235;21;2024-11-15;null;null;AJT124;123;1;null;null
24117250;36468;2024-11-15;24117250;30434;Prueba performance insertar consumo 11050;0;null;null;25110236;21;2024-11-15;null;null;COA721;123;1;null;null
24117251;36468;2024-11-15;24117251;30435;Prueba performance insertar consumo 11051;0;null;null;25110237;21;2024-11-15;null;null;JJV112;123;1;null;null
24117252;36468;2024-11-15;24117252;30436;Prueba performance insertar consumo 11052;0;null;null;25110238;21;2024-11-15;null;null;LED195;123;1;null;null
24117253;36468;2024-11-15;24117253;30437;Prueba performance insertar consumo 11053;0;null;null;25110239;21;2024-11-15;null;null;MIT123;123;1;null;null
24117254;36468;2024-11-15;24117254;30438;Prueba performance insertar consumo 11054;0;null;null;25110240;21;2024-11-15;null;null;QWE000;123;1;null;null
