cdmvto_sinc_billeteraIR;cdusuarioIR;femvtoIR;cdnumero_transaccionIR;vrmvtoIR;dsdescripcion_mvtoIR;cdtipo_mvtoIR;cdtipo_ajusteIR;cdorigen_ajusteIR;cdmvto_relacionIR;cdusuario_ingresaIR;feingresaIR;femodificaIR;cdmovimiento_referenciaIR;dsplacaIR;cdpunto_atencionIR;cdtipo_consumoIR;vrajusteIR;cdajusteIR
24064315;39764;2024-11-15;24064315;20307;Prueba performance insertar recarga 11000;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064316;39765;2024-11-15;24064316;20308;Prueba performance insertar recarga 11001;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064317;39766;2024-11-15;24064317;20309;Prueba performance insertar recarga 11002;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064318;39763;2024-11-15;24064318;20310;Prueba performance insertar recarga 11003;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064319;39763;2024-11-15;24064319;20311;Prueba performance insertar recarga 11004;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064320;39764;2024-11-15;24064320;20312;Prueba performance insertar recarga 11005;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064321;39765;2024-11-15;24064321;20313;Prueba performance insertar recarga 11006;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064322;39766;2024-11-15;24064322;20314;Prueba performance insertar recarga 11007;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064323;39763;2024-11-15;24064323;20315;Prueba performance insertar recarga 11008;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064324;39763;2024-11-15;24064324;20316;Prueba performance insertar recarga 11009;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064325;39764;2024-11-15;24064325;20317;Prueba performance insertar recarga 11010;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064326;39765;2024-11-15;24064326;20318;Prueba performance insertar recarga 11011;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064327;39766;2024-11-15;24064327;20319;Prueba performance insertar recarga 11012;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064328;39763;2024-11-15;24064328;20320;Prueba performance insertar recarga 11013;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064329;39763;2024-11-15;24064329;20321;Prueba performance insertar recarga 11014;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064330;39764;2024-11-15;24064330;20322;Prueba performance insertar recarga 11015;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064331;39765;2024-11-15;24064331;20323;Prueba performance insertar recarga 11016;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064332;39766;2024-11-15;24064332;20324;Prueba performance insertar recarga 11017;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064333;39763;2024-11-15;24064333;20325;Prueba performance insertar recarga 11018;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064334;39763;2024-11-15;24064334;20326;Prueba performance insertar recarga 11019;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064335;39764;2024-11-15;24064335;20327;Prueba performance insertar recarga 11020;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064336;39765;2024-11-15;24064336;20328;Prueba performance insertar recarga 11021;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064337;39766;2024-11-15;24064337;20329;Prueba performance insertar recarga 11022;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064338;39763;2024-11-15;24064338;20330;Prueba performance insertar recarga 11023;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064339;39763;2024-11-15;24064339;20331;Prueba performance insertar recarga 11024;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064340;39764;2024-11-15;24064340;20332;Prueba performance insertar recarga 11025;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064341;39765;2024-11-15;24064341;20333;Prueba performance insertar recarga 11026;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064342;39766;2024-11-15;24064342;20334;Prueba performance insertar recarga 11027;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064343;39763;2024-11-15;24064343;20335;Prueba performance insertar recarga 11028;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064344;39763;2024-11-15;24064344;20336;Prueba performance insertar recarga 11029;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064345;39764;2024-11-15;24064345;20337;Prueba performance insertar recarga 11030;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
