cdmvto_sinc_billetera;cdusuario;femvto;cdnumero_transaccion;vrmvto;dsdescripcion_mvto;cdtipo_mvto;cdtipo_ajuste;cdorigen_ajuste;cdmvto_relacion;cdusuario_ingresa;feingresa;femodifica;cdmovimiento_referencia;dsplaca;cdpunto_atencion;cdtipo_consumo;vrajuste;cdajuste
23124122;36468;2024-11-15;23124122;30313;Prueba performance insertar referrencia 11000;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124123;36468;2024-11-15;23124123;30314;Prueba performance insertar referrencia 11001;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124124;36468;2024-11-15;23124124;30315;Prueba performance insertar referrencia 11002;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124125;36468;2024-11-15;23124125;30316;Prueba performance insertar referrencia 11003;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124126;36468;2024-11-15;23124126;30317;Prueba performance insertar referrencia 11004;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124127;36468;2024-11-15;23124127;30318;Prueba performance insertar referrencia 11005;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124128;36468;2024-11-15;23124128;30319;Prueba performance insertar referrencia 11006;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124129;36468;2024-11-15;23124129;30320;Prueba performance insertar referrencia 11007;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124130;36468;2024-11-15;23124130;30321;Prueba performance insertar referrencia 11008;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124131;36468;2024-11-15;23124131;30322;Prueba performance insertar referrencia 11009;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124132;36468;2024-11-15;23124132;30323;Prueba performance insertar referrencia 11010;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124133;36468;2024-11-15;23124133;30324;Prueba performance insertar referrencia 11011;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124134;36468;2024-11-15;23124134;30325;Prueba performance insertar referrencia 11012;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124135;36468;2024-11-15;23124135;30326;Prueba performance insertar referrencia 11013;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124136;36468;2024-11-15;23124136;30327;Prueba performance insertar referrencia 11014;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124137;36468;2024-11-15;23124137;30328;Prueba performance insertar referrencia 11015;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124138;36468;2024-11-15;23124138;30329;Prueba performance insertar referrencia 11016;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124139;36468;2024-11-15;23124139;30330;Prueba performance insertar referrencia 11017;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
